timestamp,modality,input_transcript,intent,confidence,slots_json,action,success,latency_ms
2025-12-10T19:12:06.205300,voice,"""tell you what you to sixty percent""",SetVolume,0.890,{'percent': 60},set_volume:60,1,9262.7
2025-12-10T19:12:23.059909,voice,"""change the difficulty to hard""",SetDifficulty,1.000,{'level': 'hard'},set_difficulty:hard,1,6499.3
2025-12-10T19:33:19.964947,voice,"""volume a""",FallbackIntent,0.910,{},fallback,1,6423.0
2025-12-10T19:33:40.161519,voice,"""there will be a""",FallbackIntent,0.910,{},fallback,1,7893.8
2025-12-10T19:39:53.136243,voice,"""can you volume to forty percent""",SetVolume,0.950,{'percent': 40},set_volume:40,1,6304.9
2025-12-10T19:40:11.944506,voice,"""change the difficulty to hard""",SetDifficulty,1.000,{'level': 'hard'},set_difficulty:hard,1,7691.9
2025-12-10T20:59:00.433714,voice,"""pause""",PauseGame,1.000,{},pause_game,1,5991.2
2025-12-10T21:00:11.814722,voice,"""pause game""",PauseGame,1.000,{},pause_game,1,6440.9
2025-12-10T21:00:26.976577,voice,"""resume the game""",ResumeGame,1.000,{},resume_game,1,5163.4
2025-12-10T21:00:43.757168,voice,"""pause game""",PauseGame,1.000,{},pause_game,1,6615.1
2025-12-10T21:01:00.300066,voice,"""pause game""",PauseGame,1.000,{},pause_game,1,6443.6
2025-12-10T21:49:24.156880,voice,"""turn it to fourteen two forty""",FallbackIntent,1.000,{},fallback,1,6110.5
2025-12-10T21:49:43.463685,voice,"""change volume to two zero""",SetVolume,1.000,{'percent': 20},set_volume:20,1,6988.2
2025-12-10T21:50:01.090595,voice,"""change volume to zero""",SetVolume,1.000,{'percent': 0},set_volume:0,1,7175.1
2025-12-10T21:50:17.434608,voice,"""turn volume to to fifty""",SetVolume,0.640,{'percent': 50},set_volume:50,1,6160.5
2025-12-10T21:50:57.974702,voice,"""resume the game""",ResumeGame,1.000,{},resume_game,1,5758.1
2025-12-10T21:51:28.085413,voice,"""pause game""",PauseGame,1.000,{},pause_game,1,7913.3
2025-12-10T21:51:43.597590,voice,"""resume the game""",ResumeGame,1.000,{},resume_game,1,5621.2
2025-12-10T21:51:58.675379,voice,"""volume two zero""",SetVolume,1.000,{'percent': 20},set_volume:20,1,5231.7
2025-12-10T21:55:19.081302,voice,"""pause game""",PauseGame,1.000,{},pause_game,1,7304.7
